,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernels,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,26.02800997098287,0.9559114497905232,0.5415394306182861,0.032095931831163486,"[(2, 2), (2, 2), (2, 2)]",SGD,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'SGD'}",-0.02931000426667508,-0.04148539036982316,-0.03592034069721481,-0.0355701696333078,0.004989047934875063,21,-0.030144534464787993,-0.04110462133280256,-0.03485969779119385,-0.03536961786292814,0.004488941218763763
1,29.46524492899577,0.27404802847683407,0.6196452776590983,0.029455196124587645,"[(2, 2), (2, 2), (2, 2)]",RMSprop,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'RMSprop'}",-0.035030305513539625,-0.01122380932055369,-0.014914056623233413,-0.02041676715508829,0.010480670015992611,18,-0.03539480657971557,-0.011148951674578337,-0.013503415014584297,-0.0200157244229594,0.010917050895824995
2,27.623267730077107,0.11818359599564977,0.6040221055348715,0.019483444715545296,"[(2, 2), (2, 2), (2, 2)]",Adagrad,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'Adagrad'}",-0.011414858336234986,-0.006756312435117648,-0.01094952658349106,-0.009700685980955182,0.002098393661452757,8,-0.010918620005426696,-0.007121698491291856,-0.010305212087121074,-0.009448510194613208,0.0016642529546506083
3,36.08821654319763,0.6427339266748708,0.7010118961334229,0.04335077232000653,"[(2, 2), (2, 2), (2, 2)]",Adadelta,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'Adadelta'}",-0.01933852253423304,-0.007511802573163209,-0.00688904911330047,-0.011268245118366898,0.00573358594684454,11,-0.014563076106817511,-0.007426860345711888,-0.007928749177769687,-0.009972895210099695,0.003252208849216274
4,32.7926541964213,0.17073680704129582,0.7966911792755127,0.022092366633148345,"[(2, 2), (2, 2), (2, 2)]",Adam,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'Adam'}",-0.004677169611605195,-0.004773058459258433,-0.00367418773693934,-0.004378308356929298,0.0004957147736079632,1,-0.0039330100719275245,-0.003725016674379153,-0.003444848496619825,-0.0037009584143088345,0.0002000158840524622
5,31.517430464426678,0.1567904493039005,0.775860865910848,0.01472993060074789,"[(2, 2), (2, 2), (2, 2)]",Adamax,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'Adamax'}",-0.011621916790573667,-0.009425796179430802,-0.008779695968016966,-0.009948283514397097,0.0012167377764794565,9,-0.008454036471591486,-0.010419054702196255,-0.009000692344977414,-0.009291261172921719,0.0008281090284424987
6,35.87955975532532,0.3368206097225335,0.895620584487915,0.07793649747228587,"[(2, 2), (2, 2), (2, 2)]",Nadam,"{'kernels': [(2, 2), (2, 2), (2, 2)], 'optimizer': 'Nadam'}",-0.033103720052431465,-0.006882875793573249,-0.006820720144234571,-0.015646347256008986,0.01239057256530484,15,-0.02771306830056371,-0.006669156598970218,-0.008520494839210293,-0.014300906579581408,0.009513899475408984
7,32.5236070950826,0.07101366576192623,1.0310103098551433,0.03826471197979648,"[(3, 3), (3, 3), (3, 3)]",SGD,"{'kernels': [(3, 3), (3, 3), (3, 3)], 'optimizer': 'SGD'}",-0.036353470427996505,-0.03711971663484219,-0.023408581090296483,-0.0323383494258488,0.0062748422900695796,20,-0.03684277279304317,-0.037048187028058045,-0.022219670464381582,-0.0320368767618276,0.00694231965877626
8,36.33905291557312,0.016657951831985637,1.0622518062591553,0.02550909413154269,"[(3, 3), (3, 3), (3, 3)]",RMSprop,"{'kernels': [(3, 3), (3, 3), (3, 3)], 'optimizer': 'RMSprop'}",-0.026355582150013327,-0.008605515966987042,-0.022045473097363523,-0.018986973991325085,0.0075750090166225355,16,-0.027494954021699443,-0.008859611850213977,-0.02066327671770244,-0.019005947529871954,0.007697577518921664
9,39.61529525121053,2.353030121339454,1.2497084935506184,0.07758505716562258,"[(3, 3), (3, 3), (3, 3)]",Adagrad,"{'kernels': [(3, 3), (3, 3), (3, 3)], 'optimizer': 'Adagrad'}",-0.011970286764259954,-0.01265145651991071,-0.010700628508490784,-0.011779491407999132,0.0008068488827654731,12,-0.00799568797521549,-0.013070499551212698,-0.010243800612848212,-0.010436662713092133,0.0020762666776776195
10,42.78620004653931,0.015128740464138986,1.166394790013631,0.014727401375955488,"[(3, 3), (3, 3), (3, 3)]",Adadelta,"{'kernels': [(3, 3), (3, 3), (3, 3)], 'optimizer': 'Adadelta'}",-0.01612531117945315,-0.015988255588049706,-0.009586741227399597,-0.013921669472155323,0.003042813165564711,13,-0.011863105253169118,-0.016125881067628398,-0.012187486624261841,-0.013392157648353118,0.0019375652450603375
11,40.37911303838094,0.333527978704581,1.239291508992513,0.03681802577042718,"[(3, 3), (3, 3), (3, 3)]",Adam,"{'kernels': [(3, 3), (3, 3), (3, 3)], 'optimizer': 'Adam'}",-0.004605021851418158,-0.00443909974960705,-0.004319136254458087,-0.004455095700314614,0.00011711463193287473,2,-0.003953704131491821,-0.0041160458225817575,-0.004880800638581715,-0.0043168501975517646,0.0004042431455777507
